PULocationID,pickup_hour,demand_mean,demand_median,demand_std,samples
0.0_0.0,0,7.392857142857143,7.0,4.408235438646589,28
0.0_0.0,1,7.521739130434782,6.0,5.4511847354279634,23
0.0_0.0,2,6.5,5.0,5.404246696158602,18
0.0_0.0,3,6.235294117647059,5.0,4.008263523096783,17
0.0_0.0,4,4.636363636363637,4.0,3.95658254741961,11
0.0_0.0,5,2.8823529411764706,3.0,1.495090003192804,17
0.0_0.0,6,5.136363636363637,4.5,3.1212856713899546,22
0.0_0.0,7,6.709677419354839,6.0,4.108475373234349,31
0.0_0.0,8,7.413793103448276,6.0,5.206570309160959,29
0.0_0.0,9,8.758620689655173,8.0,4.298298437536426,29
0.0_0.0,10,7.666666666666667,7.0,3.7722519875362597,30
0.0_0.0,11,7.266666666666667,7.0,3.352130905736738,30
0.0_0.0,12,8.933333333333334,8.5,4.697272380445055,30
0.0_0.0,13,8.935483870967742,11.0,4.654284648729368,31
0.0_0.0,14,11.451612903225806,10.0,5.943280293336441,31
0.0_0.0,15,10.962962962962964,10.0,5.487618801808313,27
0.0_0.0,16,8.516129032258064,7.0,4.380798768428237,31
0.0_0.0,17,9.833333333333334,9.0,4.094431317789072,30
0.0_0.0,18,10.7,10.5,4.713516880134232,30
0.0_0.0,19,12.709677419354838,12.0,5.628460703644747,31
0.0_0.0,20,12.678571428571429,12.5,6.40054147841659,28
0.0_0.0,21,9.387096774193548,10.0,4.751683346315905,31
0.0_0.0,22,11.107142857142858,9.0,7.597949458823478,28
0.0_0.0,23,9.592592592592593,8.0,5.617686762218463,27
18.63_-76.66,13,1.0,1.0,,1
19.47_-87.45,2,1.0,1.0,,1
30.13_-77.97,7,1.0,1.0,,1
35.03_-70.05,4,1.0,1.0,,1
35.87_-71.06,23,1.0,1.0,,1
4.79_-73.95,14,1.0,1.0,,1
40.06_-73.34,11,1.0,1.0,,1
40.12_-72.45,10,1.0,1.0,,1
40.17_-75.5,19,1.0,1.0,,1
40.27_-74.03,8,1.0,1.0,,1
40.47_-74.46,9,1.0,1.0,,1
40.54_-74.16,15,1.0,1.0,,1
40.55_-74.2,3,2.0,2.0,,1
40.55_-74.3,22,1.0,1.0,,1
40.56_-74.05,21,1.0,1.0,,1
40.57_-74.23,23,1.0,1.0,,1
40.58_-73.74,21,1.0,1.0,,1
40.58_-73.96,15,1.0,1.0,,1
40.58_-73.96,19,1.0,1.0,,1
40.58_-73.99,19,1.0,1.0,,1
40.59_-73.75,14,1.0,1.0,,1
40.59_-73.75,16,1.0,1.0,,1
40.59_-73.75,17,1.0,1.0,,1
40.59_-73.75,18,1.0,1.0,,1
40.59_-73.79,20,1.0,1.0,,1
40.59_-73.93,7,1.0,1.0,,1
40.59_-73.93,10,1.0,1.0,,1
40.59_-73.93,21,1.0,1.0,,1
40.59_-73.97,3,1.0,1.0,,1
40.59_-73.99,9,1.0,1.0,,1
40.59_-74.25,12,1.0,1.0,,1
40.61_-73.76,7,1.0,1.0,,1
40.61_-73.78,2,1.0,1.0,,1
40.61_-73.78,20,1.0,1.0,,1
40.61_-73.91,5,1.0,1.0,,1
40.61_-73.96,7,1.0,1.0,,1
40.61_-73.98,12,1.0,1.0,,1
40.61_-74.0,6,1.0,1.0,0.0,2
40.61_-74.0,10,1.0,1.0,,1
40.61_-74.01,9,1.0,1.0,,1
40.61_-74.03,1,1.0,1.0,,1
40.61_-74.04,1,1.0,1.0,,1
40.61_-74.1,2,1.0,1.0,,1
40.62_-73.78,16,1.0,1.0,,1
40.62_-73.85,18,1.0,1.0,,1
40.62_-73.94,7,1.0,1.0,,1
40.62_-73.94,15,1.0,1.0,,1
40.62_-73.97,16,1.0,1.0,,1
40.62_-74.0,10,1.0,1.0,,1
40.62_-74.0,17,1.0,1.0,,1
40.62_-74.0,22,1.0,1.0,,1
40.62_-74.02,7,1.0,1.0,,1
40.62_-74.03,0,1.0,1.0,,1
40.62_-74.03,4,1.0,1.0,,1
40.62_-74.03,10,1.0,1.0,,1
40.62_-74.03,22,1.0,1.0,,1
40.62_-74.03,23,1.0,1.0,,1
40.62_-74.04,0,1.0,1.0,,1
40.62_-74.27,12,1.0,1.0,,1
40.63_-73.77,12,1.0,1.0,,1
40.63_-73.77,14,1.0,1.0,,1
40.63_-73.78,22,1.0,1.0,,1
40.63_-73.79,20,1.0,1.0,,1
40.63_-73.8,16,1.0,1.0,,1
40.63_-73.88,19,1.0,1.0,,1
40.63_-73.9,3,1.0,1.0,,1
40.63_-73.93,3,1.0,1.0,,1
40.63_-73.93,22,1.0,1.0,,1
40.63_-73.94,23,1.0,1.0,,1
40.63_-73.95,9,1.0,1.0,,1
40.63_-73.95,12,1.0,1.0,,1
40.63_-73.96,14,1.0,1.0,,1
40.63_-73.97,7,1.0,1.0,0.0,2
40.63_-73.97,8,1.0,1.0,,1
40.63_-73.97,10,1.0,1.0,,1
40.63_-73.97,19,1.0,1.0,,1
40.63_-73.98,1,1.0,1.0,,1
40.63_-73.98,7,1.0,1.0,,1
40.63_-74.0,17,1.0,1.0,,1
40.63_-74.0,20,1.0,1.0,,1
40.63_-74.01,3,1.0,1.0,,1
40.63_-74.02,11,1.0,1.0,,1
40.63_-74.02,13,1.0,1.0,,1
40.63_-74.03,16,1.0,1.0,,1
40.63_-74.03,19,1.0,1.0,,1
40.63_-74.03,21,1.0,1.0,,1
40.63_-74.03,23,1.0,1.0,,1
40.63_-74.1,19,1.0,1.0,,1
40.63_-74.12,8,1.0,1.0,,1
40.64_-73.78,0,3.2916666666666665,2.0,2.5277445981790145,24
40.64_-73.78,1,2.8125,2.0,2.5617376914898995,16
40.64_-73.78,2,1.6,1.0,1.3498971154211057,10
40.64_-73.78,3,1.125,1.0,0.3535533905932738,8
40.64_-73.78,4,2.0,2.0,1.4142135623730951,2
40.64_-73.78,5,2.2666666666666666,2.0,1.6676187756655838,15
40.64_-73.78,6,3.2,3.0,1.673320053068151,20
40.64_-73.78,7,3.9130434782608696,4.0,2.661391356521842,23
40.64_-73.78,8,2.625,2.0,1.5864005379054391,16
40.64_-73.78,9,2.2857142857142856,2.0,1.1892374507581378,21
40.64_-73.78,10,1.7272727272727273,1.0,1.162174406295953,22
40.64_-73.78,11,2.0526315789473686,2.0,1.0259783520851544,19
40.64_-73.78,12,2.6875,3.0,1.01447851956888,16
40.64_-73.78,13,2.347826086956522,2.0,1.4650068461575658,23
40.64_-73.78,14,4.1923076923076925,4.0,2.5771182474885515,26
40.64_-73.78,15,4.185185185185185,4.0,2.5575985887763037,27
40.64_-73.78,16,4.413793103448276,4.0,2.584531477011844,29
40.64_-73.78,17,3.4615384615384617,3.0,3.009727818003073,26
40.64_-73.78,18,3.3333333333333335,3.0,2.1122354181147664,27
40.64_-73.78,19,2.962962962962963,2.0,2.0092379244472363,27
40.64_-73.78,20,3.6538461538461537,3.0,2.7414201822020305,26
40.64_-73.78,21,2.75,2.0,1.7132382161232529,28
40.64_-73.78,22,2.96,3.0,1.9035055380358978,25
40.64_-73.78,23,2.9166666666666665,2.0,1.9763089590064797,24
